Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
1994,18,SEA,AL,17,59,54,4,11,0,0,0,2,3,0,3,20,.204,.241,.204,.445,16,11,0,0,1,1,0,6,
1995,19,SEA,AL,48,149,142,15,33,6,2,5,19,4,2,6,42,.232,.264,.408,.672,72,58,0,0,1,0,0,6/D,
1996,20,SEA,AL,146,677,601,141,215,54,1,36,123,15,4,59,104,.358,.414,.631,1.045,161,379,15,4,6,7,1,*6,ASMVP-2SS
1997,21,SEA,AL,141,638,587,100,176,40,3,23,84,29,6,41,99,.300,.350,.496,.846,120,291,14,5,4,1,1,*6/D,AS
1998,22,SEA,AL,161,748,686,123,213,35,5,42,124,46,13,45,121,.310,.360,.560,.919,136,384,12,10,3,4,0,*6/D,ASMVP-9SS
1999,23,SEA,AL,129,572,502,110,143,25,0,42,111,21,7,56,109,.285,.357,.586,.943,134,294,12,5,1,8,2,*6,MVP-15SS
2000,24,SEA,AL,148,672,554,134,175,34,2,41,132,15,4,100,121,.316,.420,.606,1.026,163,336,10,7,0,11,5,*6,ASMVP-3SS
2001,25,TEX,AL,162,732,632,133,201,34,1,52,135,18,3,75,131,.318,.399,.622,1.021,160,393,17,16,0,9,6,*6/D,ASMVP-6SS
2002,26,TEX,AL,162,725,624,125,187,27,2,57,142,9,4,87,122,.300,.392,.623,1.015,158,389,14,10,0,4,12,*6,ASMVP-2GGSS
2003,27,TEX,AL,161,715,607,124,181,30,6,47,118,17,3,87,126,.298,.396,.600,.995,147,364,16,15,0,6,10,*6/D,ASMVP-1GGSS
2004,28,NYY,AL,155,698,601,112,172,24,2,36,106,28,4,80,131,.286,.375,.512,.888,131,308,18,10,0,7,6,*5/6,ASMVP-14
2005,29,NYY,AL,162,715,605,124,194,29,1,48,130,21,6,91,139,.321,.421,.610,1.031,173,369,8,16,0,3,8,*5/6D,ASMVP-1SS
2006,30,NYY,AL,154,674,572,113,166,26,1,35,121,15,4,90,139,.290,.392,.523,.914,134,299,22,8,0,4,8,*5/D,ASMVP-13
2007,31,NYY,AL,158,708,583,143,183,31,0,54,156,24,4,95,120,.314,.422,.645,1.067,176,376,15,21,0,9,11,*5/D,ASMVP-1SS
2008,32,NYY,AL,138,594,510,104,154,33,0,35,103,18,3,65,117,.302,.392,.573,.965,150,292,16,14,0,5,9,*5/D,ASMVP-8SS
2009,33,NYY,AL,124,535,444,78,127,17,1,30,100,14,2,80,97,.286,.402,.532,.933,138,236,13,8,0,3,7,*5/D,MVP-10
2010,34,NYY,AL,137,595,522,74,141,29,2,30,125,4,3,59,98,.270,.341,.506,.847,123,264,7,3,0,11,1,*5D,ASMVP-15
2011,35,NYY,AL,99,428,373,67,103,21,0,16,62,4,1,47,80,.276,.362,.461,.823,119,172,13,5,0,3,1,5D,AS
2012,36,NYY,AL,122,529,463,74,126,17,1,18,57,13,1,51,116,.272,.353,.430,.783,111,199,13,10,0,5,3,5D,
2013,37,NYY,AL,44,181,156,21,38,7,0,7,19,4,2,23,43,.244,.348,.423,.771,113,66,5,2,0,0,1,5D